watcher_pos,knower_pos,reaction_time
"(9, 17)","(9, 3)",1.3872120380401611
"(9, 16)","(8, 3)",0.37326812744140625
"(9, 15)","(7, 3)",0.5101020336151123
"(9, 14)","(6, 3)",0.24295520782470703
"(9, 13)","(6, 4)",0.3420748710632324
"(9, 12)","(6, 5)",0.2501368522644043
"(8, 12)","(5, 5)",0.09087371826171875
"(9, 12)","(4, 5)",0.4785289764404297
"(10, 12)","(3, 5)",0.10290002822875977
"(11, 12)","(2, 5)",0.09986495971679688
"(12, 12)","(1, 5)",0.09648704528808594
"(13, 12)","(1, 6)",0.08621907234191895
"(14, 12)","(2, 6)",0.0493471622467041
"(15, 12)","(2, 7)",0.04123401641845703
"(16, 12)","(2, 8)",0.033789873123168945
"(17, 12)","(2, 9)",0.02708292007446289
"(18, 12)","(3, 9)",0.5095241069793701
"(18, 13)","(4, 9)",0.04656100273132324
"(18, 14)","(5, 9)",0.07132387161254883
"(17, 14)","(6, 9)",0.2525169849395752
"(16, 14)","(7, 9)",0.17519497871398926
"(15, 14)","(8, 9)",0.1981499195098877
"(14, 14)","(9, 9)",0.1830301284790039
"(13, 14)","(9, 9)",0.0775759220123291
"(12, 14)","(9, 9)",0.0013837814331054688
"(11, 14)","(9, 9)",0.09562802314758301
"(10, 14)","(9, 9)",0.026487112045288086
"(9, 14)","(9, 9)",0.04298901557922363
"(9, 13)","(9, 9)",0.011495828628540039
"(9, 12)","(9, 9)",0.02876901626586914
"(9, 11)","(9, 9)",0.2207169532775879
"(9, 10)","(9, 9)",0.07984209060668945
