watcher_pos,knower_pos,reaction_time
"(9, 17)","(8, 2)",1.4278998374938965
"(9, 16)","(8, 3)",0.5669879913330078
"(9, 17)","(8, 4)",1.0906438827514648
"(8, 17)","(7, 4)",0.2801671028137207
"(8, 16)","(6, 4)",0.4097747802734375
"(8, 15)","(6, 5)",0.15886187553405762
"(8, 14)","(5, 5)",0.2373340129852295
"(8, 13)","(5, 6)",0.023053884506225586
"(8, 12)","(4, 6)",0.08887410163879395
"(9, 12)","(4, 7)",0.02394890785217285
"(10, 12)","(3, 7)",0.06682491302490234
"(11, 12)","(2, 7)",0.027682065963745117
"(12, 12)","(2, 6)",0.02827596664428711
"(13, 12)","(2, 5)",0.0513300895690918
"(14, 12)","(2, 4)",0.07860922813415527
"(15, 12)","(2, 3)",0.0243988037109375
"(16, 12)","(3, 3)",0.04582095146179199
"(17, 12)","(3, 2)",0.5552952289581299
"(18, 12)","(4, 2)",0.12315583229064941
"(17, 12)","(5, 2)",0.1895439624786377
"(16, 12)","(6, 2)",0.23387694358825684
"(15, 12)","(7, 2)",0.03302812576293945
"(14, 12)","(8, 2)",0.023247241973876953
"(13, 12)","(9, 2)",0.023386001586914062
"(12, 12)","(10, 2)",0.024696826934814453
"(11, 12)","(11, 2)",0.2589240074157715
"(10, 12)","(12, 2)",0.02156686782836914
"(10, 13)","(13, 2)",0.1708691120147705
"(10, 14)","(14, 2)",0.0031158924102783203
"(10, 15)","(15, 2)",0.025087833404541016
"(9, 15)","(16, 2)",0.07438230514526367
"(8, 15)","(17, 2)",0.01894664764404297
"(7, 15)","(18, 2)",0.024214982986450195
"(6, 15)","(17, 2)",0.0178070068359375
"(5, 15)","(16, 2)",0.01968693733215332
"(5, 16)","(15, 2)",0.12284302711486816
"(5, 17)","(14, 2)",0.37290501594543457
"(5, 18)","(14, 3)",0.39238405227661133
"(4, 18)","(14, 4)",0.30983495712280273
"(3, 18)","(13, 4)",0.16650080680847168
"(2, 18)","(12, 4)",0.08583211898803711
"(2, 17)","(11, 4)",0.3057889938354492
"(2, 16)","(11, 5)",0.2651209831237793
"(3, 16)","(10, 5)",0.08136296272277832
"(4, 16)","(10, 6)",0.03542923927307129
"(5, 16)","(10, 7)",0.023046255111694336
"(5, 15)","(9, 7)",0.28615593910217285
"(5, 14)","(9, 8)",0.00850987434387207
"(5, 13)","(9, 9)",0.1728649139404297
"(5, 12)","(9, 9)",0.00506281852722168
"(5, 11)","(9, 9)",0.0465550422668457
"(5, 10)","(9, 9)",0.01559591293334961
"(6, 10)","(9, 9)",0.22355890274047852
"(7, 10)","(9, 9)",0.002023935317993164
"(8, 10)","(9, 9)",0.010263919830322266
"(9, 10)","(9, 9)",0.03318023681640625
