watcher_pos,knower_pos,beliefs
"(9, 17)","(9, 3)","{1: 0.5, 2: 0.5}"
"(9, 16)","(8, 3)","{1: 0.44329637553225704, 2: 0.5567036244677429}"
"(9, 15)","(7, 3)","{1: 0.4362550312016526, 2: 0.5637449687983473}"
"(9, 14)","(6, 3)","{1: 0.4288708705572345, 2: 0.5711291294427655}"
"(9, 13)","(5, 3)","{1: 0.4211294975964383, 2: 0.5788705024035617}"
"(9, 12)","(5, 4)","{1: 0.41301808032282233, 2: 0.5869819196771776}"
"(10, 12)","(4, 4)","{1: 0.3999626328540698, 2: 0.6000373671459301}"
"(11, 12)","(3, 4)","{1: 0.46738643800962715, 2: 0.5326135619903729}"
"(12, 12)","(2, 4)","{1: 0.4577113400382566, 2: 0.5422886599617434}"
"(13, 12)","(2, 3)","{1: 0.44757935071764465, 2: 0.5524206492823553}"
"(12, 12)","(2, 2)","{1: 0.9036410949421182, 2: 0.09635890505788192}"
"(11, 12)","(2, 3)","{1: 0.9901917535545006, 2: 0.009808246445499385}"
"(10, 12)","(3, 3)","{1: 0.9905996772586624, 2: 0.009400322741337666}"
"(9, 12)","(3, 4)","{1: 0.9987737748057715, 2: 0.0012262251942286237}"
"(8, 12)","(4, 4)","{1: 0.9988787721696412, 2: 0.001121227830358826}"
"(7, 12)","(5, 4)","{1: 0.999861657528144, 2: 0.00013834247185598144}"
"(6, 12)","(6, 4)","{1: 0.9999816802980391, 2: 1.8319701960864315e-05}"
"(5, 12)","(6, 5)","{1: 0.9999974263732426, 2: 2.573626757397797e-06}"
"(4, 12)","(6, 6)","{1: 0.9999979532272801, 2: 2.046772719821136e-06}"
"(3, 12)","(7, 6)","{1: 0.9999983813050478, 2: 1.6186949522621922e-06}"
"(2, 12)","(8, 6)","{1: 0.9999998057556425, 2: 1.942443575287093e-07}"
"(3, 12)","(8, 7)","{1: 0.9999999751507235, 2: 2.4849276537899877e-08}"
"(4, 12)","(8, 8)","{1: 0.9999999818583, 2: 1.814170010518283e-08}"
"(5, 12)","(9, 8)","{1: 0.9999999866732823, 2: 1.3326717739061232e-08}"
"(6, 12)","(9, 9)","{1: 0.9999999977223418, 2: 2.277658194438935e-09}"
"(7, 12)","(9, 9)","{1: 0.9999999977223418, 2: 2.277658194438935e-09}"
"(8, 12)","(9, 9)","{1: 0.9999999977223418, 2: 2.277658194438935e-09}"
"(9, 12)","(9, 9)","{1: 0.9999999977223418, 2: 2.277658194438935e-09}"
"(9, 11)","(9, 9)","{1: 0.9999999977223418, 2: 2.277658194438935e-09}"
"(9, 10)","(9, 9)","{1: 0.9999999977223418, 2: 2.277658194438935e-09}"
