watcher_pos,knower_pos,beliefs
"(8, 18)","(9, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(8, 17)","(8, 3)","{1: 0.006083011147553457, 2: 0.9328026076613902, 3: 0.061114381191056215}"
"(8, 16)","(7, 3)","{1: 0.0060712701662736235, 2: 0.9389972432544329, 3: 0.054931486579293524}"
"(8, 15)","(6, 3)","{1: 0.006057944643154469, 2: 0.9444829307849387, 3: 0.049459124571906744}"
"(8, 14)","(5, 3)","{1: 0.006057944643154469, 2: 0.9444829307849387, 3: 0.049459124571906744}"
"(8, 13)","(5, 4)","{1: 0.006057944643154469, 2: 0.9444829307849387, 3: 0.049459124571906744}"
"(8, 12)","(4, 4)","{1: 0.006057944643154469, 2: 0.9444829307849387, 3: 0.049459124571906744}"
"(9, 12)","(3, 4)","{1: 0.006057944643154469, 2: 0.9444829307849387, 3: 0.049459124571906744}"
"(10, 12)","(2, 4)","{1: 0.006057944643154469, 2: 0.9444829307849387, 3: 0.049459124571906744}"
"(11, 12)","(2, 5)","{1: 0.006057944643154469, 2: 0.9444829307849387, 3: 0.049459124571906744}"
"(12, 12)","(2, 6)","{1: 0.006057944643154469, 2: 0.9444829307849387, 3: 0.049459124571906744}"
"(13, 12)","(2, 7)","{1: 0.006057944643154469, 2: 0.9444829307849387, 3: 0.049459124571906744}"
"(14, 12)","(2, 6)","{1: 0.006057944643154469, 2: 0.9444829307849387, 3: 0.049459124571906744}"
"(13, 12)","(3, 6)","{1: 0.20817626274012924, 2: 4.6907730900165915e-05, 3: 0.7917768295289705}"
"(12, 12)","(4, 6)","{1: 0.0007960308785026907, 2: 6.622719960281141e-05, 3: 0.9991377419218945}"
"(11, 12)","(5, 6)","{1: 1.4412059359808994e-06, 2: 7.374165307103308e-05, 3: 0.999924817140993}"
"(10, 12)","(6, 6)","{1: 3.500701320800437e-09, 2: 8.156893745446988e-05, 3: 0.9999184275618442}"
"(9, 12)","(6, 5)","{1: 1.1102778509024933e-11, 2: 8.969296516927649e-05, 3: 0.999910307023728}"
"(8, 12)","(6, 4)","{1: 1.1724403931211665e-11, 2: 1.1134355171460511e-12, 3: 0.9999999999871622}"
"(7, 12)","(6, 3)","{1: 1.2359420240207065e-11, 2: 1.3540706927477916e-19, 3: 0.9999999999876406}"
"(6, 12)","(7, 3)","{1: 1.3005368291857186e-11, 2: 9.697805559101851e-26, 3: 0.9999999999869946}"
"(5, 12)","(8, 3)","{1: 2.2686304384774466e-14, 2: 1.0403870115861785e-25, 3: 0.9999999999999774}"
"(4, 12)","(9, 3)","{1: 5.316366077940634e-17, 2: 1.1102709202094406e-25, 3: 1.0}"
"(4, 13)","(10, 3)","{1: 1.6277281850900793e-19, 2: 1.1785633438099422e-25, 3: 1.0}"
"(3, 13)","(10, 2)","{1: 6.355576025960543e-22, 2: 9.576980671230997e-33, 3: 1.0}"
"(2, 13)","(11, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(2, 14)","(12, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(2, 15)","(13, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(2, 16)","(14, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(2, 17)","(15, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(2, 18)","(16, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(2, 17)","(17, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(3, 17)","(18, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(3, 16)","(17, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(3, 15)","(16, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(4, 15)","(15, 2)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(5, 15)","(15, 3)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(6, 15)","(14, 3)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(6, 14)","(14, 4)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(6, 13)","(13, 4)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(6, 12)","(13, 5)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(6, 11)","(13, 6)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(7, 11)","(13, 7)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(8, 11)","(12, 7)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(9, 11)","(12, 8)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(9, 10)","(12, 9)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(9, 10)","(11, 9)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(9, 10)","(10, 9)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
"(9, 10)","(9, 9)","{1: 6.419010402314751e-22, 2: 1.126001984697851e-39, 3: 1.0}"
