watcher_pos,knower_pos,beliefs
"(9, 17)","(9, 3)","{1: 0.5, 2: 0.5}"
"(9, 16)","(8, 3)","{1: 0.5, 2: 0.5}"
"(9, 15)","(7, 3)","{1: 0.5, 2: 0.5}"
"(9, 14)","(6, 3)","{1: 0.49247944279580946, 2: 0.5075205572041904}"
"(9, 13)","(5, 3)","{1: 0.49247944279580946, 2: 0.5075205572041904}"
"(9, 12)","(5, 4)","{1: 0.49247944279580946, 2: 0.5075205572041904}"
"(8, 12)","(4, 4)","{1: 0.4789617646370831, 2: 0.5210382353629169}"
"(7, 12)","(3, 4)","{1: 0.4789617646370831, 2: 0.5210382353629169}"
"(6, 12)","(2, 4)","{1: 0.4789617646370831, 2: 0.5210382353629169}"
"(5, 12)","(1, 4)","{1: 0.46876599871708885, 2: 0.5312340012829111}"
"(4, 12)","(1, 5)","{1: 0.46876599871708885, 2: 0.5312340012829111}"
"(3, 12)","(1, 6)","{1: 0.46876599871708885, 2: 0.5312340012829111}"
"(4, 12)","(2, 6)","{1: 0.08492134261214684, 2: 0.9150786573878532}"
"(5, 12)","(2, 7)","{1: 0.08492134261214684, 2: 0.9150786573878532}"
"(6, 12)","(3, 7)","{1: 0.08492134261214684, 2: 0.9150786573878532}"
"(7, 12)","(3, 8)","{1: 0.016511717977882402, 2: 0.9834882820221176}"
"(8, 12)","(3, 9)","{1: 0.016511717977882402, 2: 0.9834882820221176}"
"(9, 12)","(4, 9)","{1: 0.016511717977882402, 2: 0.9834882820221176}"
"(10, 12)","(5, 9)","{1: 0.005206021423742023, 2: 0.994793978576258}"
"(11, 12)","(6, 9)","{1: 0.005206021423742023, 2: 0.994793978576258}"
"(12, 12)","(7, 9)","{1: 0.005206021423742023, 2: 0.994793978576258}"
"(13, 12)","(8, 9)","{1: 0.0003809635676525488, 2: 0.9996190364323474}"
"(14, 12)","(9, 9)","{1: 0.0003809635676525488, 2: 0.9996190364323474}"
"(15, 12)","(9, 9)","{1: 0.0003809635676525488, 2: 0.9996190364323474}"
"(16, 12)","(9, 9)","{1: 6.727771370773241e-05, 2: 0.9999327222862923}"
"(17, 12)","(9, 9)","{1: 6.727771370773241e-05, 2: 0.9999327222862923}"
"(18, 12)","(9, 9)","{1: 6.727771370773241e-05, 2: 0.9999327222862923}"
"(17, 12)","(9, 9)","{1: 1.187809520394418e-05, 2: 0.999988121904796}"
"(16, 12)","(9, 9)","{1: 1.187809520394418e-05, 2: 0.999988121904796}"
"(15, 12)","(9, 9)","{1: 1.187809520394418e-05, 2: 0.999988121904796}"
"(14, 12)","(9, 9)","{1: 2.0970199708725327e-06, 2: 0.9999979029800291}"
"(13, 12)","(9, 9)","{1: 2.0970199708725327e-06, 2: 0.9999979029800291}"
"(12, 12)","(9, 9)","{1: 2.0970199708725327e-06, 2: 0.9999979029800291}"
"(11, 12)","(9, 9)","{1: 3.702157007489939e-07, 2: 0.9999996297842992}"
"(10, 12)","(9, 9)","{1: 3.702157007489939e-07, 2: 0.9999996297842992}"
"(9, 12)","(9, 9)","{1: 3.702157007489939e-07, 2: 0.9999996297842992}"
"(9, 11)","(9, 9)","{1: 6.535916304708168e-08, 2: 0.999999934640837}"
"(9, 10)","(9, 9)","{1: 6.535916304708168e-08, 2: 0.999999934640837}"
