turn,old_pos,new_pos,reaction_time,world_status(beliefs)
1,"(17, 30)","(17, 29)",1.3739423751831055,"{1: 0.5, 2: 0.5}"
3,"(17, 29)","(17, 28)",1.381103277206421,"{1: 0.5, 2: 0.5}"
5,"(17, 28)","(17, 27)",1.3389902114868164,"{1: 0.470290497597339, 2: 0.5297095024026611}"
7,"(17, 27)","(17, 26)",1.3157939910888672,"{1: 0.470290497597339, 2: 0.5297095024026611}"
9,"(17, 26)","(18, 26)",1.3027989864349365,"{1: 0.470290497597339, 2: 0.5297095024026611}"
11,"(18, 26)","(19, 26)",1.2900898456573486,"{1: 0.4688099389199389, 2: 0.5311900610800611}"
13,"(19, 26)","(20, 26)",1.3175761699676514,"{1: 0.4688099389199389, 2: 0.5311900610800611}"
15,"(20, 26)","(21, 26)",1.2328684329986572,"{1: 0.4688099389199389, 2: 0.5311900610800611}"
17,"(21, 26)","(20, 26)",1.0405256748199463,"{1: 0.43615991112676117, 2: 0.5638400888732388}"
19,"(20, 26)","(19, 26)",1.0350689888000488,"{1: 0.43615991112676117, 2: 0.5638400888732388}"
21,"(19, 26)","(18, 26)",1.0249481201171875,"{1: 0.43615991112676117, 2: 0.5638400888732388}"
23,"(18, 26)","(17, 26)",1.0154476165771484,"{1: 0.4021561125425748, 2: 0.5978438874574253}"
25,"(17, 26)","(16, 26)",1.009286642074585,"{1: 0.4021561125425748, 2: 0.5978438874574253}"
27,"(16, 26)","(15, 26)",1.0109632015228271,"{1: 0.4021561125425748, 2: 0.5978438874574253}"
29,"(15, 26)","(14, 26)",0.969538688659668,"{1: 0.3676866254759404, 2: 0.6323133745240597}"
31,"(14, 26)","(14, 25)",0.9705758094787598,"{1: 0.3676866254759404, 2: 0.6323133745240597}"
33,"(14, 25)","(14, 24)",0.9419925212860107,"{1: 0.3676866254759404, 2: 0.6323133745240597}"
35,"(14, 24)","(14, 23)",0.9397199153900146,"{1: 0.3321169418092527, 2: 0.6678830581907473}"
37,"(14, 23)","(14, 22)",0.9133853912353516,"{1: 0.3321169418092527, 2: 0.6678830581907473}"
39,"(14, 22)","(14, 21)",0.8446111679077148,"{1: 0.3321169418092527, 2: 0.6678830581907473}"
41,"(14, 21)","(14, 20)",0.621232271194458,"{1: 0.31403455027218097, 2: 0.685965449727819}"
43,"(14, 20)","(14, 20)",0.5678145885467529,"{1: 0.31403455027218097, 2: 0.685965449727819}"
45,"(14, 20)","(14, 20)",0.5832393169403076,"{1: 0.31403455027218097, 2: 0.685965449727819}"
47,"(14, 20)","(14, 20)",0.5587553977966309,"{1: 0.276070492955058, 2: 0.723929507044942}"
49,"(14, 20)","(14, 20)",0.5443973541259766,"{1: 0.276070492955058, 2: 0.723929507044942}"
51,"(14, 20)","(14, 20)",0.547565221786499,"{1: 0.276070492955058, 2: 0.723929507044942}"
53,"(14, 20)","(14, 20)",0.5291047096252441,"{1: 0.23834251401773007, 2: 0.7616574859822699}"
55,"(14, 20)","(14, 20)",0.5314130783081055,"{1: 0.23834251401773007, 2: 0.7616574859822699}"
57,"(14, 20)","(14, 20)",0.5170998573303223,"{1: 0.23834251401773007, 2: 0.7616574859822699}"
59,"(14, 20)","(14, 20)",0.5183117389678955,"{1: 0.20054175592115786, 2: 0.7994582440788421}"
61,"(14, 20)","(14, 20)",0.5051579475402832,"{1: 0.20054175592115786, 2: 0.7994582440788421}"
63,"(14, 20)","(14, 20)",0.5032727718353271,"{1: 0.20054175592115786, 2: 0.7994582440788421}"
65,"(14, 20)","(14, 20)",0.49767231941223145,"{1: 0.1622937040178039, 2: 0.8377062959821961}"
67,"(14, 20)","(14, 20)",0.48775792121887207,"{1: 0.1622937040178039, 2: 0.8377062959821961}"
69,"(14, 20)","(14, 20)",0.476245641708374,"{1: 0.1622937040178039, 2: 0.8377062959821961}"
71,"(14, 20)","(14, 20)",0.5005245208740234,"{1: 0.11186411816807904, 2: 0.8881358818319209}"
73,"(14, 20)","(14, 20)",0.46083521842956543,"{1: 0.11186411816807904, 2: 0.8881358818319209}"
75,"(14, 20)","(14, 20)",0.4632749557495117,"{1: 0.11186411816807904, 2: 0.8881358818319209}"
77,"(14, 20)","(14, 20)",0.4518887996673584,"{1: 0.06412815932769576, 2: 0.9358718406723042}"
79,"(14, 20)","(14, 20)",0.45868468284606934,"{1: 0.06412815932769576, 2: 0.9358718406723042}"
81,"(14, 20)","(14, 20)",0.4460606575012207,"{1: 0.06412815932769576, 2: 0.9358718406723042}"
83,"(14, 20)","(14, 21)",0.39666247367858887,"{1: 0.022925042388566, 2: 0.9770749576114339}"
85,"(14, 21)","(13, 21)",0.48874711990356445,"{1: 0.022925042388566, 2: 0.9770749576114339}"
87,"(13, 21)","(13, 22)",0.43213510513305664,"{1: 0.022925042388566, 2: 0.9770749576114339}"
89,"(13, 22)","(13, 23)",0.44161415100097656,"{1: 0.00850362732796336, 2: 0.9914963726720367}"
91,"(13, 23)","(13, 24)",0.43987512588500977,"{1: 0.00850362732796336, 2: 0.9914963726720367}"
93,"(13, 24)","(13, 25)",0.4617936611175537,"{1: 0.00850362732796336, 2: 0.9914963726720367}"
95,"(13, 25)","(12, 25)",0.45105481147766113,"{1: 0.0031252481748909613, 2: 0.996874751825109}"
97,"(12, 25)","(12, 26)",0.45732617378234863,"{1: 0.0031252481748909613, 2: 0.996874751825109}"
99,"(12, 26)","(11, 26)",0.4721651077270508,"{1: 0.0031252481748909613, 2: 0.996874751825109}"
101,"(11, 26)","(10, 26)",0.4706697463989258,"{1: 0.0011446621772092061, 2: 0.9988553378227908}"
103,"(10, 26)","(9, 26)",0.48265957832336426,"{1: 0.0011446621772092061, 2: 0.9988553378227908}"
105,"(9, 26)","(8, 26)",0.48258543014526367,"{1: 0.0011446621772092061, 2: 0.9988553378227908}"
107,"(8, 26)","(7, 26)",0.5374350547790527,"{1: 0.00041871997221931126, 2: 0.9995812800277807}"
109,"(7, 26)","(6, 26)",0.4873368740081787,"{1: 0.00041871997221931126, 2: 0.9995812800277807}"
